Date,High,Low,Open,Close,Volume,Adj Close,Status,Middle,Height
2017-11-01,8256.4501953125,8160.0,8251.0,8238.400390625,631375.0,8094.291015625,Decrease,8244.7001953125,12.599609375
2017-11-02,8273.9501953125,8201.0,8250.0,8225.7998046875,247753.0,8081.91064453125,Decrease,8237.89990234375,24.2001953125
2017-11-03,8242.900390625,8175.0,8235.0,8219.400390625,288916.0,8075.623046875,Decrease,8227.2001953125,15.599609375
2017-11-06,8370.5498046875,8199.349609375,8209.5,8310.2001953125,392588.0,8164.8349609375,Increase,8259.85009765625,100.7001953125
2017-11-07,8348.0,8210.0,8348.0,8220.2998046875,348296.0,8076.5068359375,Decrease,8284.14990234375,127.7001953125
2017-11-08,8285.0498046875,8204.900390625,8218.0,8232.0,199176.0,8088.001953125,Increase,8225.0,14.0
2017-11-09,8273.7001953125,8148.7001953125,8273.7001953125,8204.7998046875,442672.0,8061.27783203125,Decrease,8239.25,68.900390625
2017-11-10,8234.900390625,8111.0498046875,8198.7998046875,8183.5,351694.0,8040.3505859375,Decrease,8191.14990234375,15.2998046875
2017-11-13,8219.0498046875,8080.0,8185.0,8109.2001953125,181361.0,7967.3505859375,Decrease,8147.10009765625,75.7998046875
2017-11-14,8186.0,8109.0,8129.0,8122.9501953125,237427.0,7980.8603515625,Decrease,8125.97509765625,6.0498046875
2017-11-15,8180.0,8087.0,8100.0,8127.25,275441.0,7985.0849609375,Increase,8113.625,27.25
2017-11-16,8234.849609375,8129.25,8130.0,8163.7001953125,321844.0,8020.8974609375,Increase,8146.85009765625,33.7001953125
2017-11-17,8362.4501953125,8218.0,8218.0,8348.349609375,419255.0,8202.3173828125,Increase,8283.1748046875,130.349609375
2017-11-20,8449.0,8350.0,8377.0,8425.650390625,372037.0,8278.265625,Increase,8401.3251953125,48.650390625
2017-11-21,8449.4501953125,8401.0,8446.0,8424.7998046875,255180.0,8277.4296875,Decrease,8435.39990234375,21.2001953125
2017-11-22,8525.0,8444.0,8448.0,8513.150390625,383442.0,8364.234375,Increase,8480.5751953125,65.150390625
2017-11-23,8519.0,8443.5,8512.0,8463.400390625,289808.0,8315.35546875,Decrease,8487.7001953125,48.599609375
2017-11-24,8540.0,8463.400390625,8463.400390625,8487.9501953125,343432.0,8339.474609375,Increase,8475.67529296875,24.5498046875
2017-11-27,8524.2001953125,8445.0,8486.0,8508.599609375,172254.0,8359.763671875,Increase,8497.2998046875,22.599609375
2017-11-28,8658.0,8476.0498046875,8490.599609375,8624.150390625,456041.0,8473.2939453125,Increase,8557.375,133.55078125
2017-11-29,8696.0,8576.0,8649.0,8671.349609375,382984.0,8519.666015625,Increase,8660.1748046875,22.349609375
2017-11-30,8676.0,8575.0,8650.0,8599.099609375,582023.0,8448.6806640625,Decrease,8624.5498046875,50.900390625
2017-12-01,8695.0,8593.0,8660.0,8609.0,436589.0,8458.4072265625,Decrease,8634.5,51.0
2017-12-04,8659.9501953125,8480.5498046875,8659.75,8500.7998046875,242191.0,8352.1005859375,Decrease,8580.27490234375,158.9501953125
2017-12-05,8554.9501953125,8476.5,8519.9501953125,8500.400390625,213998.0,8351.7080078125,Decrease,8510.17529296875,19.5498046875
2017-12-06,8638.75,8450.0498046875,8494.0,8612.400390625,420876.0,8461.7490234375,Increase,8553.2001953125,118.400390625
2017-12-07,8988.25,8614.5498046875,8615.900390625,8882.400390625,834850.0,8727.025390625,Increase,8749.150390625,266.5
2017-12-08,9119.0,8899.0,8929.7998046875,9042.25,1006694.0,8884.0791015625,Increase,8986.02490234375,112.4501953125
2017-12-11,9167.0,9089.75,9108.0,9133.7998046875,564023.0,8974.02734375,Increase,9120.89990234375,25.7998046875
2017-12-12,9218.5,9100.0,9150.0,9131.349609375,491488.0,8971.6201171875,Decrease,9140.6748046875,18.650390625
2017-12-13,9176.0,9075.0,9091.0,9120.650390625,446829.0,8961.1083984375,Increase,9105.8251953125,29.650390625
2017-12-14,9146.7998046875,9046.0,9127.0,9112.75,655484.0,8953.345703125,Decrease,9119.875,14.25
2017-12-15,9236.2998046875,9147.2998046875,9170.0,9165.900390625,620495.0,9005.56640625,Decrease,9167.9501953125,4.099609375
2017-12-18,9344.0,8990.150390625,9110.0,9309.099609375,658668.0,9146.26171875,Increase,9209.5498046875,199.099609375
2017-12-19,9858.0,9326.0,9345.0,9801.5,1275759.0,9630.0478515625,Increase,9573.25,456.5
2017-12-20,9996.400390625,9700.25,9966.0,9733.900390625,1216280.0,9563.630859375,Decrease,9849.9501953125,232.099609375
2017-12-21,9817.400390625,9610.0498046875,9788.0,9631.0498046875,849633.0,9462.580078125,Decrease,9709.52490234375,156.9501953125
2017-12-22,9824.7998046875,9605.0,9665.0,9700.0,814330.0,9530.3232421875,Increase,9682.5,35.0
